iter	Passed	Remaining
575	25695	136062
576	25729	135960
577	25757	135827
578	25792	135731
579	25839	135703
580	25884	135658
581	25922	135579
582	25970	135555
583	26001	135441
584	26035	135342
585	26068	135237
586	26104	135147
587	26133	135022
588	26172	134950
589	26217	134906
590	26251	134811
591	26285	134711
592	26316	134598
593	26352	134515
594	26381	134389
595	26415	134294
596	26449	134196
597	26484	134107
598	26517	134006
599	26547	133886
600	26587	133820
601	26614	133690
602	26649	133601
603	26687	133526
604	26734	133493
605	26782	133468
606	26822	133407
607	26870	133382
608	26904	133287
609	26938	133191
610	26972	133094
611	27010	133022
612	27050	132959
613	27087	132878
614	27133	132841
615	27170	132764
616	27201	132658
617	27231	132544
618	27264	132448
619	27323	132473
620	27355	132373
621	27403	132348
622	27446	132299
623	27478	132198
624	27522	132151
625	27554	132048
626	27599	132011
627	27638	131942
628	27672	131849
629	27712	131789
630	27746	131696
631	27780	131607
632	27811	131498
633	27863	131495
634	27894	131388
635	27925	131283
636	27970	131244
637	28006	131163
638	28046	131104
639	28087	131043
640	28120	130950
641	28153	130858
642	28189	130774
643	28221	130677
644	28255	130588
645	28282	130466
646	28331	130447
647	28367	130367
648	28404	130291
649	28447	130247
650	28486	130181
651	28510	130045
652	28546	129966
653	28591	129928
654	28625	129841
655	28673	129816
656	28707	129730
657	28746	129663
658	28784	129595
659	28824	129534
660	28860	129457
661	28892	129360
662	28923	129262
663	28961	129193
664	28996	129112
665	29038	129061
666	29101	129103
667	29149	129077
668	29190	129021
669	29226	128946
670	29274	128921
671	29315	128866
672	29349	128779
673	29395	128747
674	29443	128722
675	29495	128716
676	29540	128677
677	29580	128620
678	29617	128545
679	29646	128440
680	29675	128330
681	29713	128265
682	29755	128214
683	29792	128143
684	29833	128086
685	29887	128088
686	29922	128011
687	29945	127877
688	29984	127816
689	30031	127786
690	30064	127698
691	30098	127615
692	30149	127601
693	30184	127524
694	30220	127446
695	30256	127372
696	30297	127317
697	30341	127278
698	30370	127173
699	30401	127077
700	30445	127037
701	30482	126967
702	30522	126910
703	30563	126857
704	30606	126812
705	30645	126747
706	30676	126656
707	30706	126557
708	30746	126498
709	30785	126438
710	30830	126401
711	30877	126372
712	30914	126302
713	30954	126245
714	30976	126114
715	31008	126026
716	31048	125968
717	31088	125914
718	31116	125808
719	31146	125711
720	31185	125651
721	31213	125547
722	31247	125466
723	31280	125380
724	31325	125343
725	31363	125282
726	31403	125226
727	31441	125159
728	31483	125111
729	31511	125010
730	31548	124943
731	31586	124879
732	31617	124786
733	31652	124714
734	31689	124645
735	31731	124597
736	31767	124526
737	31804	124458
738	31848	124420
739	31879	124328
740	31926	124302
741	31954	124199
742	31990	124130
743	32022	124044
744	32058	123974
745	32090	123888
746	32126	123817
747	32155	123720
748	32198	123678
749	32240	123633
750	32279	123572
751	32313	123494
752	32357	123455
753	32404	123429
754	32444	123374
755	32495	123361
756	32539	123324
757	32575	123252
758	32603	123154
759	32642	123095
760	32687	123062
761	32720	122980
762	32753	122900
763	32795	122852
764	32832	122788
765	32872	122733
766	32906	122658
767	32937	122572
768	32989	122562
769	33028	122507
770	33063	122433
771	33102	122376
772	33135	122297
773	33174	122241
774	33201	122138
775	33245	122098
776	33282	122036
777	33311	121944
778	33344	121865
779	33378	121787
780	33430	121778
781	33471	121728
782	33510	121672
783	33543	121596
784	33581	121535
785	33607	121433
786	33639	121349
787	33686	121323
788	33723	121259
789	33759	121192
790	33792	121114
791	33825	121038
792	33860	120966
793	33894	120894
794	33942	120868
795	33971	120777
796	34019	120753
797	34046	120656
798	34084	120595
799	34118	120522
800	34152	120450
801	34199	120422
802	34231	120343
803	34271	120289
804	34311	120239
805	34340	120147
806	34380	120098
807	34414	120023
808	34449	119956
809	34478	119866
810	34512	119792
811	34560	119771
812	34597	119709
813	34632	119638
814	34662	119554
815	34691	119464
816	34724	119390
817	34764	119339
818	34799	119270
819	34835	119204
820	34866	119122
821	34895	119036
822	34932	118973
823	34961	118884
824	34996	118819
825	35037	118770
826	35070	118697
827	35106	118633
828	35141	118564
829	35182	118517
830	35232	118503
831	35268	118437
832	35300	118359
833	35332	118284
834	35367	118216
835	35403	118152
836	35443	118101
837	35474	118023
838	35509	117956
839	35545	117892
840	35581	117828
841	35615	117759
842	35649	117691
843	35684	117622
844	35720	117560
845	35775	117559
846	35798	117454
847	35844	117424
848	35884	117376
849	35926	117333
850	35961	117267
851	35995	117198
852	36024	117112
853	36072	117087
854	36108	117026
855	36139	116945
856	36180	116899
857	36234	116896
858	36270	116833
859	36305	116769
860	36344	116717
861	36376	116642
862	36417	116594
863	36456	116543
864	36497	116496
865	36534	116436
866	36576	116395
867	36630	116389
868	36664	116322
869	36701	116265
870	36733	116188
871	36771	116133
872	36805	116066
873	36837	115993
874	36868	115915
875	36899	115836
876	36932	115767
877	36969	115708
878	37019	115690
879	37056	115632
880	37102	115602
881	37134	115529
882	37167	115458
883	37213	115430
884	37256	115389
885	37318	115409
886	37349	115333
887	37374	115238
888	37399	115143
889	37439	115094
890	37485	115065
891	37519	114998
892	37552	114929
893	37606	114922
894	37637	114848
895	37671	114779
896	37712	114735
897	37745	114665
898	37774	114583
899	37821	114556
900	37864	114519
901	37901	114460
902	37961	114471
903	38010	114452
904	38067	114454
905	38112	114420
906	38156	114384
907	38192	114324
908	38231	114273
909	38276	114240
910	38320	114203
911	38360	114157
912	38400	114107
913	38443	114067
914	38491	114043
915	38520	113962
916	38562	113921
917	38595	113853
918	38638	113813
919	38670	113742
920	38713	113701
921	38756	113662
922	38792	113603
923	38826	113538
924	38860	113471
925	38903	113433
926	38942	113382
927	38972	113305
928	39012	113256
929	39056	113222
930	39085	113141
931	39130	113109
932	39165	113046
933	39196	112974
934	39228	112903
935	39271	112863
936	39304	112796
937	39337	112729
938	39373	112670
939	39416	112630
940	39451	112567
941	39486	112508
942	39524	112455
943	39560	112394
944	39595	112332
945	39629	112270
946	39664	112209
947	39700	112150
948	39731	112078
949	39764	112011
950	39800	111952
951	39846	111920
952	39896	111901
953	39926	111826
954	39957	111756
955	39992	111693
956	40029	111638
957	40064	111579
958	40095	111505
959	40127	111438
960	40163	111380
961	40203	111331
962	40241	111280
963	40275	111216
964	40311	111158
965	40353	111118
966	40392	111070
967	40440	111045
968	40481	111000
969	40510	110924
970	40540	110850
971	40593	110839
972	40636	110800
973	40668	110732
974	40722	110722
975	40760	110670
976	40797	110616
977	40839	110574
978	40879	110527
979	40920	110484
980	40955	110424
981	40989	110364
982	41029	110316
983	41071	110276
984	41111	110230
985	41157	110199
986	41206	110176
987	41240	110113
988	41274	110051
989	41310	109994
990	41340	109920
991	41371	109851
992	41399	109774
993	41448	109750
994	41481	109686
995	41512	109616
996	41545	109552
997	41579	109491
998	41623	109453
999	41665	109412
1000	41696	109345
1001	41731	109285
1002	41766	109225
1003	41800	109163
1004	41839	109115
1005	41887	109091
1006	41921	109028
1007	41954	108964
1008	41994	108920
1009	42036	108878
1010	42074	108826
1011	42106	108762
1012	42142	108706
1013	42181	108657
1014	42210	108583
1015	42246	108527
1016	42291	108495
1017	42333	108453
1018	42371	108402
1019	42414	108364
1020	42454	108318
1021	42493	108272
1022	42538	108237
1023	42574	108183
1024	42609	108123
1025	42644	108067
1026	42681	108013
1027	42716	107955
1028	42756	107909
1029	42793	107855
1030	42828	107797
1031	42862	107736
1032	42906	107702
1033	42942	107648
1034	42978	107592
1035	43016	107540
1036	43062	107511
1037	43094	107446
1038	43141	107417
1039	43190	107393
1040	43227	107341
1041	43258	107273
1042	43290	107210
1043	43330	107165
1044	43365	107107
1045	43403	107056
1046	43438	106999
1047	43480	106957
1048	43518	106907
1049	43543	106825
1050	43582	106780
1051	43629	106750
1052	43660	106684
1053	43690	106615
1054	43730	106569
1055	43761	106503
1056	43793	106438
1057	43837	106403
1058	43867	106333
1059	43899	106269
1060	43939	106225
1061	43977	106176
1062	44015	106126
1063	44049	106067
1064	44088	106018
1065	44122	105961
1066	44165	105923
1067	44210	105890
1068	44248	105841
1069	44294	105810
1070	44329	105752
1071	44368	105705
1072	44408	105661
1073	44448	105618
1074	44493	105584
1075	44536	105547
1076	44572	105492
1077	44611	105444
1078	44647	105390
1079	44680	105329
1080	44708	105257
1081	44746	105206
1082	44779	105146
1083	44815	105093
1084	44855	105049
1085	44890	104993
1086	44933	104954
1087	44962	104883
1088	44990	104812
1089	45030	104767
1090	45075	104735
1091	45113	104686
1092	45153	104641
1093	45188	104586
1094	45229	104544
1095	45267	104496
1096	45301	104438
1097	45340	104391
1098	45379	104344
1099	45411	104280
1100	45449	104231
1101	45496	104203
1102	45531	104148
1103	45564	104088
1104	45594	104021
1105	45630	103968
1106	45673	103931
1107	45712	103884
1108	45752	103839
1109	45782	103774
1110	45808	103697
1111	45851	103661
1112	45885	103603
1113	45939	103590
1114	45973	103532
1115	46006	103474
1116	46043	103422
1117	46075	103360
1118	46109	103303
1119	46157	103277
1120	46186	103208
1121	46225	103162
1122	46265	103118
1123	46302	103069
1124	46339	103016
1125	46379	102973
1126	46423	102938
1127	46466	102902
1128	46499	102843
1129	46540	102800
1130	46570	102735
1131	46610	102691
1132	46643	102632
1133	46684	102590
1134	46724	102545
1135	46767	102509
1136	46798	102445
1137	46833	102392
1138	46881	102365
1139	46917	102312
1140	46956	102266
1141	46990	102210
1142	47032	102171
1143	47074	102131
1144	47111	102081
1145	47150	102036
1146	47196	102004
1147	47230	101949
1148	47274	101914
1149	47312	101866
1150	47342	101800
1151	47373	101738
1152	47407	101682
1153	47453	101651
1154	47491	101602
1155	47529	101554
1156	47564	101502
1157	47610	101469
1158	47643	101411
1159	47686	101374
1160	47715	101308
1161	47755	101265
1162	47789	101207
1163	47822	101150
1164	47866	101115
1165	47915	101090
1166	47950	101037
1167	47977	100966
1168	48010	100908
1169	48046	100857
1170	48075	100789
1171	48109	100734
1172	48149	100691
1173	48195	100661
1174	48230	100607
1175	48272	100566
1176	48313	100525
1177	48348	100473
1178	48384	100421
1179	48419	100367
1180	48455	100315
1181	48492	100267
1182	48533	100225
1183	48565	100166
1184	48600	100113
1185	48636	100062
1186	48668	100001
1187	48696	99934
1188	48736	99891
1189	48772	99840
1190	48806	99784
1191	48836	99722
1192	48870	99666
1193	48902	99606
1194	48942	99563
1195	48985	99527
1196	49019	99472
1197	49049	99409
1198	49091	99370
1199	49145	99354
1200	49186	99315
1201	49222	99264
1202	49270	99237
1203	49307	99188
1204	49347	99144
1205	49375	99079
1206	49403	99011
1207	49442	98966
1208	49500	98959
1209	49533	98904
1210	49579	98872
1211	49610	98811
1212	49645	98759
1213	49683	98712
1214	49723	98669
1215	49757	98615
1216	49797	98571
1217	49835	98524
1218	49876	98484
1219	49920	98449
1220	49955	98397
1221	50003	98369
1222	50050	98341
1223	50093	98305
1224	50130	98256
1225	50164	98201
1226	50199	98149
1227	50240	98107
1228	50285	98074
1229	50322	98026
1230	50351	97962
1231	50386	97909
1232	50424	97862
1233	50463	97818
1234	50500	97770
