model,outlier_method,fold,train_score,validation_score
XGBRegressor,knn,2,0.9160168617850117,0.5207902124649808
XGBRegressor,knn,3,0.9272870303582024,0.45418251306430646
XGBRegressor,knn,4,0.9329808689892669,0.39598414206663657
XGBRegressor,knn,5,0.936910003612096,0.39927232768861665
XGBRegressor,knn,6,0.9317424249320094,0.45526707070694283
XGBRegressor,knn,7,0.9239096343595965,0.5116315646423827
XGBRegressor,knn,8,0.928823401400741,0.5194829119460251
XGBRegressor,knn,9,0.9227355661350599,0.5057109598690854
XGBRegressor,isolationForest,0,0.9181000434103517,0.3848938839062286
XGBRegressor,isolationForest,1,0.9133921081542763,0.6381651433341968
XGBRegressor,isolationForest,2,0.9163844579927958,0.4918832602090596
XGBRegressor,isolationForest,3,0.9101413860241931,0.4186749788354668
XGBRegressor,isolationForest,4,0.9224577607162228,0.4319159193710549
XGBRegressor,isolationForest,5,0.9160046552674315,0.44689170187409266
XGBRegressor,isolationForest,6,0.9157365752711712,0.38513731396213435
XGBRegressor,isolationForest,7,0.9078077894226856,0.6121489397663502
XGBRegressor,isolationForest,8,0.9131898092482789,0.5266326895716791
XGBRegressor,isolationForest,9,0.9174722462115119,0.4779342460489715
Ridge,zscore,0,0.4730029368297959,0.1913365341775385
Ridge,zscore,1,0.4387543268253916,0.43082323004045264
Ridge,zscore,2,0.46166161497510727,0.37150122398859065
Ridge,zscore,3,0.4708546468278145,0.29781390435725286
Ridge,zscore,4,0.4686498180554348,0.2732895369038185
Ridge,zscore,5,0.4797190935096498,0.18110738134226578
Ridge,zscore,6,0.46053011085638196,0.2705556407893832
Ridge,zscore,7,0.4648891192538064,0.4495311232571262
Ridge,zscore,8,0.45621039034113275,0.41953923680379723
Ridge,zscore,9,0.4576520738297726,0.43527934478641894
Ridge,knn,0,0.5398467963791167,0.15618997276729407
Ridge,knn,1,0.5205194952528329,0.5368006893787065
Ridge,knn,2,0.5161305592513276,0.39851016963611674
Ridge,knn,3,0.5520583206601796,0.3144017103193303
Ridge,knn,4,0.5577997944426727,0.17517245494044642
Ridge,knn,5,0.564488194938453,0.12763392344631008
Ridge,knn,6,0.5351889104800598,0.22254341972985991
Ridge,knn,7,0.5328521700536764,0.42668914204910746
Ridge,knn,8,0.5199286551892088,0.369364382091791
Ridge,knn,9,0.5164137525439223,0.44762893756002653
Ridge,isolationForest,0,0.5071528998195436,0.15122329778574772
Ridge,isolationForest,1,0.5088185293093499,0.5018353797798296
Ridge,isolationForest,2,0.5333276194151301,0.3857940228152853
Ridge,isolationForest,3,0.5020229488423467,0.27209968182671274
Ridge,isolationForest,4,0.5455306539949591,0.21602886603072025
Ridge,isolationForest,5,0.4991609784951694,0.1688066019333836
Ridge,isolationForest,6,0.5136676983418534,0.2895087864549887
Ridge,isolationForest,7,0.48689935762371295,0.42808321839595853
Ridge,isolationForest,8,0.5033255800575553,0.42139552846436723
Ridge,isolationForest,9,0.5005441084934494,0.482279147949605
RandomForestRegressor,zscore,0,0.9273149245287591,0.4559472926756858
RandomForestRegressor,zscore,1,0.921668642630161,0.5664677370831767
RandomForestRegressor,zscore,2,0.9269809393827704,0.41108840425616844
RandomForestRegressor,zscore,3,0.92841177128645,0.49654715682317596
RandomForestRegressor,zscore,4,0.9280148326508747,0.3944786659751295
RandomForestRegressor,zscore,5,0.9275822251402651,0.5127637663565643
RandomForestRegressor,zscore,6,0.9287052761659935,0.314407729343671
RandomForestRegressor,zscore,7,0.9215806235274359,0.5160737073105968
RandomForestRegressor,zscore,8,0.9225755319403175,0.5209257939916192
RandomForestRegressor,zscore,9,0.9259716349311589,0.44555899563462975
RandomForestRegressor,knn,0,0.934460757182906,0.39026302929842116
RandomForestRegressor,knn,1,0.931959069233208,0.5843606498825482
RandomForestRegressor,knn,2,0.9314401685315385,0.41962515702472747
RandomForestRegressor,knn,3,0.9333239266939677,0.432818615838528
RandomForestRegressor,knn,4,0.9338412840036064,0.3773522344776824
RandomForestRegressor,knn,5,0.9370070788774646,0.43087146755885797
RandomForestRegressor,knn,6,0.9363154167426967,0.3878755152817417
RandomForestRegressor,knn,7,0.9313007210484421,0.4872000225921509
RandomForestRegressor,knn,8,0.9338336218295892,0.5115613927731121
RandomForestRegressor,knn,9,0.9308216116686788,0.48512043944287053
RandomForestRegressor,isolationForest,0,0.927953813451322,0.4638063549282819
RandomForestRegressor,isolationForest,1,0.9248752302871033,0.5842001054104817
RandomForestRegressor,isolationForest,2,0.9310269255227469,0.45101422264775626
RandomForestRegressor,isolationForest,3,0.9312314512829597,0.482575642405489
RandomForestRegressor,isolationForest,4,0.9317852939951177,0.40549157949985715
RandomForestRegressor,isolationForest,5,0.926736402910311,0.49589943260219793
RandomForestRegressor,isolationForest,6,0.9273898987080444,0.37500735703684207
RandomForestRegressor,isolationForest,7,0.9249535030740674,0.5615441724523026
RandomForestRegressor,isolationForest,8,0.9236723905690823,0.5041106807691156
RandomForestRegressor,isolationForest,9,0.9250747439230019,0.4926007213097432
